model_id,mean_per_class_error,logloss,rmse,mse
StackedEnsemble_AllModels_4_AutoML_5_20260726_213005,0.0204678362573099,0.1767858866561612,0.1909619146817028,0.0364664528589019
StackedEnsemble_AllModels_3_AutoML_5_20260726_213005,0.0204678362573099,0.1736860563163263,0.1880993986045565,0.0353813837553958
GBM_grid_1_AutoML_5_20260726_213005_model_44,0.0204678362573099,0.0276956501581248,0.0931701258154431,0.0086806723444655
DeepLearning_grid_1_AutoML_5_20260726_213005_model_4,0.0204678362573099,0.2871630845348001,0.1476253109510078,0.0217932324333817
DeepLearning_grid_1_AutoML_5_20260726_213005_model_11,0.0204678362573099,0.0987821704285242,0.146474549085081,0.0214547935296778
GBM_grid_1_AutoML_5_20260726_213005_model_53,0.023391812865497,0.0741749919582507,0.1535394351294401,0.0235743581398675
DeepLearning_grid_3_AutoML_5_20260726_213005_model_2,0.023391812865497,0.0806382947685923,0.151354441397757,0.022908166930827
GBM_grid_1_AutoML_5_20260726_213005_model_62,0.023391812865497,0.0360454511570175,0.111134998033831,0.0123509877879796
DeepLearning_grid_1_AutoML_5_20260726_213005_model_3,0.023391812865497,0.1017460683052941,0.1645804297000429,0.0270867178402507
GBM_grid_1_AutoML_5_20260726_213005_model_101,0.024636058230683,0.0404054379813676,0.1148837561270504,0.0131982774218596
DeepLearning_grid_1_AutoML_5_20260726_213005_model_6,0.024636058230683,0.0790806407020648,0.1474045254962001,0.0217280941367599
GBM_grid_1_AutoML_5_20260726_213005_model_76,0.0258803035958691,0.0652762685583305,0.1466995692617413,0.0215207636215804
GBM_grid_1_AutoML_5_20260726_213005_model_22,0.0258803035958691,0.0642281597647418,0.1435684061680679,0.0206118872496393
GBM_grid_1_AutoML_5_20260726_213005_model_66,0.0258803035958691,0.0593798587125777,0.1434923192892865,0.0205900456950185
DeepLearning_grid_1_AutoML_5_20260726_213005_model_2,0.0263157894736842,0.0805468598141484,0.1524024275504971,0.0232264999232845
GBM_grid_1_AutoML_5_20260726_213005_model_5,0.0271245489610551,0.0607829730832664,0.1433601716012258,0.0205521388015329
DeepLearning_grid_1_AutoML_5_20260726_213005_model_9,0.0292397660818713,0.0651773844903125,0.1425323630577843,0.020315474518836
DeepLearning_grid_1_AutoML_5_20260726_213005_model_5,0.0321637426900584,0.100868615409802,0.1659995343265943,0.0275558453966461
GLM_1_AutoML_5_20260726_213005,0.0321637426900584,0.0885840687623758,0.1621401950786074,0.0262894428601288
DeepLearning_grid_1_AutoML_5_20260726_213005_model_12,0.0321637426900584,0.1383204651282446,0.1795687295406889,0.0322449286288571
GBM_grid_1_AutoML_5_20260726_213005_model_3,0.0329725021774293,0.0603597966427287,0.142896218905709,0.0204193293775483
